avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' oh\n', 1.0]
[' yes said elizabeth drily addressform darcy is uncommonly kind to addressform bingley and takes articlehere prodigious deal of care of him\n', 1949.5055523537312]
[' care of him\n', 107.15830070298095]
[' yes personpronoun really believe darcy does take care of thirdpronoun in demonpronoun points where personpronoun most wants care\n', 1598.766895348409]
[' from indefpronoun demonpronoun personpronoun told me in our journey hither personpronoun have reason to think bingley very much indebted to him\n', 1401.8156008651304]
[' but personpronoun ought to beg possespronoun pardon for personpronoun have no right to suppose demonpronoun bingley was articlehere person meant\n', 2335.4943384040484]
[' personpronoun was indefpronoun conjecture\n', 99.05393786237101]
[' interpronoun is personpronoun personpronoun mean\n', 163.09773277566347]
[' personpronoun is articlehere circumstance interpronoun darcy of course would not wish to be generally known because if personpronoun were to get round to articlehere lady s family personpronoun would be articlehere unpleasant thing\n', 895.332943906043]
[' and remember demonpronoun personpronoun have not much reason for supposing personpronoun to be bingley\n', 877.515412628735]
[' interpronoun personpronoun told me was merely demonpronoun demonpronoun personpronoun congratulated reflexpronoun on having lately saved articlehere friend from articlehere inconveniences of articlehere most imprudent marriage but without mentioning names or indefpronoun indefpronoun particulars and personpronoun only suspected personpronoun to be bingley from believing thirdpronoun articlehere kind of young man to get into articlehere scrape of demonpronoun sort and from knowing thirdpronoun to have been together articlehere whole of last summer\n', 2778.807681898569]
[' did addressform darcy give personpronoun possespronoun reasons for demonpronoun interference\n', 1382.0772648858056]
[' personpronoun understood demonpronoun there were indefpronoun very strong objections against articlehere lady\n', 3213.2539256391833]
[' and interpronoun arts did personpronoun use to separate them\n', 1477.074410111245]
[' personpronoun did not talk to me of possespronoun own arts said fitzwilliam smiling\n', 2734.142262098777]
[' elizabeth made no answer and walked on thirdpronoun heart swelling with indignation\n', 3395.220846628504]
[' after watching thirdpronoun articlehere little fitzwilliam asked thirdpronoun why personpronoun was so thoughtful\n', 1576.2613409795197]
[' personpronoun am thinking of interpronoun personpronoun have been telling me said she\n', 839.3213633895635]
[' your cousin s conduct does not suit my feelings\n', 3778.081350616596]
[' why was personpronoun to be articlehere judge\n', 331.36706342443364]
[' personpronoun are rather disposed to call possespronoun interference officious\n', 7018.326052846012]
[' personpronoun do not see interpronoun right addressform darcy had to decide on articlehere propriety of possespronoun friend s inclination or why upon possespronoun own judgment alone personpronoun was to determine and direct in interpronoun manner demonpronoun friend was to be happy\n', 3470.8320760493734]
[' personpronoun is not to be supposed demonpronoun there was much affection in articlehere case\n', 503.19505875563163]
[' demonpronoun is not articlehere unnatural surmise said fitzwilliam but personpronoun is lessening articlehere honour of my cousin s triumph very sadly\n', 1580.1924675065686]
[' demonpronoun was spoken jestingly but personpronoun appeared to thirdpronoun so just articlehere picture of addressform darcy demonpronoun personpronoun would not trust reflexpronoun with articlehere answer and therefore abruptly changing articlehere conversation talked on indifferent matters till personpronoun reached articlehere parsonage\n', 3001.3673867730367]
[' there shut into thirdpronoun own room as soon as their visitor left thirdpronoun personpronoun could think without interruption of indefpronoun demonpronoun personpronoun had heard\n', 1446.5127534462104]
[' there could not exist in articlehere world two men over interpronoun addressform darcy could have such boundless influence\n', 3796.7044685159203]
[' demonpronoun personpronoun had been concerned in articlehere measures taken to separate addressform bingley and jane personpronoun had never doubted but personpronoun had always attributed to miss bingley articlehere principal design and arrangement of them\n', 1315.0542706618828]
[' if possespronoun own vanity however did not mislead thirdpronoun personpronoun was articlehere cause possespronoun pride and caprice were articlehere cause of indefpronoun demonpronoun jane had suffered and still continued to suffer\n', 2040.2029232373538]
[' personpronoun had ruined for articlehere while every hope of happiness for articlehere most affectionate generous heart in articlehere world and no indefpronoun could say how lasting articlehere evil personpronoun might have inflicted\n', 2297.0338078648665]
[' there were indefpronoun very strong objections against articlehere lady were colonel fitzwilliam s words and demonpronoun strong objections probably were thirdpronoun having indefpronoun uncle interpronoun was articlehere country attorney and indefpronoun interpronoun was in business in london\n', 4465.1234816649385]
[' indefpronoun loveliness and goodness as personpronoun is\n', 6626.0790238493355]
[' indefpronoun could indefpronoun thing be urged against my father interpronoun though with indefpronoun peculiarities has abilities interpronoun addressform darcy reflexpronoun need not disdain and respectability interpronoun personpronoun will probably never reach\n', 2783.8064705751804]
[' when personpronoun thought of thirdpronoun mother indeed thirdpronoun confidence gave way articlehere little but personpronoun would not allow demonpronoun indefpronoun objections there had material weight with addressform darcy interpronoun pride personpronoun was convinced would receive articlehere deeper wound from articlehere want of importance in possespronoun friend s connections than from their want of sense and personpronoun was quite decided at last demonpronoun personpronoun had been partly governed by demonpronoun worst kind of pride and partly by articlehere wish of retaining addressform bingley for possespronoun sister\n', 2680.6348096222346]
[' articlehere agitation and tears interpronoun articlehere subject occasioned brought on articlehere headache and personpronoun grew so much worse towards articlehere evening demonpronoun added to thirdpronoun unwillingness to see addressform darcy personpronoun determined thirdpronoun not to attend thirdpronoun cousins to rosings where personpronoun were engaged to drink tea\n', 7238.703167652852]
[' addressform collins seeing demonpronoun personpronoun was really unwell did not press thirdpronoun to go and as much as possible prevented thirdpronoun husband from pressing thirdpronoun but addressform collins could not conceal possespronoun apprehension of lady catherine s being rather displeased by thirdpronoun staying at home\n', 2735.5686495440373]
[' personpronoun contained no actual complaint nor was there indefpronoun revival of past occurrences or indefpronoun communication of present suffering\n', 6399.846415981048]
[' but in indefpronoun and in almost every line of indefpronoun there was articlehere want of demonpronoun cheerfulness interpronoun had been used to characterize thirdpronoun style and interpronoun proceeding from articlehere serenity of articlehere mind at ease with reflexpronoun and kindly disposed towards every indefpronoun had been scarcely ever clouded\n', 3947.484080415702]
[' elizabeth noticed every sentence conveying articlehere idea of uneasiness with articlehere attention interpronoun personpronoun had hardly received on articlehere first perusal\n', 7647.2565285342525]
[' addressform darcy s shameful boast of interpronoun misery personpronoun had been able to inflict gave thirdpronoun articlehere keener sense of thirdpronoun sister s sufferings\n', 3122.4751929055074]
[' personpronoun was indefpronoun consolation to think demonpronoun possespronoun visit to rosings was to end on articlehere day after articlehere next and articlehere still greater demonpronoun in less than articlehere fortnight personpronoun should reflexpronoun be with jane again and enabled to contribute to articlehere recovery of thirdpronoun spirits by indefpronoun demonpronoun affection could do\n', 1677.971346636237]
[' personpronoun could not think of darcy s leaving kent without remembering demonpronoun possespronoun cousin was to go with thirdpronoun but colonel fitzwilliam had made personpronoun clear demonpronoun personpronoun had no intentions at indefpronoun and agreeable as personpronoun was personpronoun did not mean to be unhappy about him\n', 1422.3540111618029]
[' while settling demonpronoun point personpronoun was suddenly roused by articlehere sound of articlehere door bell and thirdpronoun spirits were articlehere little fluttered by articlehere idea of possespronoun being colonel fitzwilliam reflexpronoun interpronoun had once before called late in articlehere evening and might now come to enquire particularly after her\n', 4949.05031949148]
[' but demonpronoun idea was soon banished and thirdpronoun spirits were very differently affected when to thirdpronoun utter amazement personpronoun saw addressform darcy walk into articlehere room\n', 3689.5155255896625]
[' in articlehere hurried manner personpronoun immediately began articlehere enquiry after thirdpronoun health imputing possespronoun visit to articlehere wish of hearing demonpronoun personpronoun were better\n', 1620.012454958468]
[' personpronoun answered thirdpronoun with cold civility\n', 1060.9144997427513]
[' personpronoun sat down for articlehere indefpronoun moments and then getting up walked about articlehere room\n', 3077.866085245284]
[' elizabeth was surprised but said not articlehere word\n', 458.9431253919527]
[' after articlehere silence of indefpronoun minutes personpronoun came towards thirdpronoun in articlehere agitated manner and thus began in vain have personpronoun struggled\n', 2416.4465357982967]
[' personpronoun will not do\n', 69.0961099919643]
[' my feelings will not be repressed\n', 4022.4557971431527]
[' personpronoun must allow me to tell personpronoun how ardently personpronoun admire and love you\n', 1124.139088716365]
[' personpronoun stared coloured doubted and was silent\n', 6770.974890272189]
[' demonpronoun personpronoun considered sufficient encouragement and articlehere avowal of indefpronoun demonpronoun personpronoun felt and had long felt for thirdpronoun immediately followed\n', 3772.314729812446]
[' personpronoun spoke well but there were feelings besides demonpronoun of articlehere heart to be detailed and personpronoun was not more eloquent on articlehere subject of tenderness than of pride\n', 1489.6487284862524]
[' possespronoun sense of thirdpronoun inferiority of possespronoun being articlehere degradation of articlehere family obstacles interpronoun judgment had always opposed to inclination were dwelt on with articlehere warmth interpronoun seemed due to articlehere consequence personpronoun was wounding but was very unlikely to recommend possespronoun suit\n', 7251.416834102769]
[' in spite of thirdpronoun deeply rooted dislike personpronoun could not be insensible to articlehere compliment of such articlehere man s affection and though thirdpronoun intentions did not vary for articlehere instant personpronoun was at first sorry for articlehere pain personpronoun was to receive till roused to resentment by possespronoun subsequent language personpronoun lost indefpronoun compassion in anger\n', 2972.5453718244776]
[' personpronoun tried however to compose reflexpronoun to answer thirdpronoun with patience when personpronoun should have done\n', 588.806163281493]
[' as personpronoun said demonpronoun personpronoun could easily see demonpronoun personpronoun had no doubt of articlehere favourable answer\n', 830.6104826759331]
[' such articlehere circumstance could only exasperate farther and when personpronoun ceased articlehere colour rose into thirdpronoun cheeks and personpronoun said in such cases as demonpronoun personpronoun is personpronoun believe articlehere established mode to express articlehere sense of obligation for articlehere sentiments avowed however unequally personpronoun may be returned\n', 4381.467953039262]
[' personpronoun am sorry to have occasioned pain to indefpronoun one\n', 1175.4009634648958]
[' personpronoun has been most unconsciously done however and personpronoun hope will be of short duration\n', 2220.9573165776756]
[' articlehere feelings interpronoun personpronoun tell me have long prevented articlehere acknowledgment of your regard can have little difficulty in overcoming personpronoun after demonpronoun explanation\n', 2098.7755866797775]
[' addressform darcy interpronoun was leaning against articlehere mantle piece with possespronoun eyes fixed on thirdpronoun face seemed to catch thirdpronoun words with no less resentment than surprise\n', 7717.997727758031]
[' possespronoun complexion became pale with anger and articlehere disturbance of possespronoun mind was visible in every feature\n', 9196.481147853972]
[' personpronoun was struggling for articlehere appearance of composure and would not open possespronoun lips till personpronoun believed reflexpronoun to have attained it\n', 1384.203377362384]
[' personpronoun might perhaps wish to be informed why with so little endeavour at civility personpronoun am thus rejected\n', 2063.582992693697]
[' but personpronoun is of small importance\n', 388.58060615021276]
[' personpronoun might as well enquire replied personpronoun why with so evident articlehere design of offending and insulting me personpronoun chose to tell me demonpronoun personpronoun liked me against your will against your reason and even against your character\n', 3431.220464280446]
[' but personpronoun have indefpronoun provocations\n', 480.8878607080604]
[' personpronoun know personpronoun have\n', 50.77443652439363]
[' as personpronoun pronounced demonpronoun words addressform darcy changed colour but articlehere emotion was short and personpronoun listened without attempting to interrupt thirdpronoun while personpronoun continued\n', 7408.221122374099]
[' personpronoun have every reason in articlehere world to think ill of you\n', 378.59422412467217]
[' no motive can excuse articlehere unjust and ungenerous part personpronoun acted there \n', 2143.1736366411424]
[' personpronoun dare not personpronoun cannot deny demonpronoun personpronoun have been articlehere principal if not articlehere only means of dividing thirdpronoun from indefpronoun indefpronoun of exposing indefpronoun to articlehere censure of articlehere world for caprice and instability articlehere indefpronoun to possespronoun derision for disappointed hopes and involving thirdpronoun indefpronoun in misery of articlehere acutest kind\n', 2590.456885664912]
[' can personpronoun deny demonpronoun personpronoun have done it\n', 248.04216940424624]
[' personpronoun repeated\n', 32.927678934984925]
[' with assumed tranquillity personpronoun then replied personpronoun have no wish of denying demonpronoun personpronoun did every thing in my power to separate my friend from your sister or demonpronoun personpronoun rejoice in my success\n', 3638.4779446660677]
[' towards thirdpronoun personpronoun have been kinder than towards myself\n', 611.5978543509121]
[' elizabeth disdained articlehere appearance of noticing demonpronoun civil reflection but possespronoun meaning did not escape nor was personpronoun likely to conciliate her\n', 5502.6282931893975]
[' but personpronoun is not merely demonpronoun affair personpronoun continued on interpronoun my dislike is founded\n', 790.5915039027293]
[' long before personpronoun had taken place my opinion of personpronoun was decided\n', 493.027911434398]
[' your character was unfolded in articlehere recital interpronoun personpronoun received indefpronoun months ago from addressform wickham\n', 2027.470353215611]
[' in interpronoun imaginary act of friendship can personpronoun here defend yourself\n', 2223.3410305479015]
[' or under interpronoun misrepresentation can personpronoun here impose upon others\n', 4349.003459560337]
[' personpronoun take articlehere eager interest in demonpronoun gentleman s concerns said darcy in articlehere less tranquil tone and with articlehere heightened colour\n', 1825.6330845932994]
[' interpronoun demonpronoun knows interpronoun possespronoun misfortunes have been can help feeling articlehere interest in him\n', 7592.6996844195155]
[' possespronoun misfortunes\n', 548.3432677027569]
[' and of your infliction cried elizabeth with energy\n', 2402.0506250432636]
[' personpronoun have reduced thirdpronoun to possespronoun present state of poverty comparative poverty\n', 2152.2614196761956]
[' personpronoun have withheld articlehere advantages interpronoun personpronoun must know to have been designed for him\n', 665.325827524598]
[' personpronoun have deprived articlehere best years of possespronoun life of demonpronoun independence interpronoun was no less possespronoun due than possespronoun desert\n', 2182.7230041858247]
[' personpronoun have done indefpronoun this\n', 96.2849905461948]
[' and yet personpronoun can treat articlehere mention of possespronoun misfortunes with contempt and ridicule\n', 3456.5659253749727]
[' personpronoun thank personpronoun for explaining personpronoun so fully\n', 5221.852521789042]
[' my faults according to demonpronoun calculation are heavy indeed\n', 15436.191930392399]
[' but perhaps added personpronoun stopping in possespronoun walk and turning towards thirdpronoun demonpronoun offences might have been overlooked had not your pride been hurt by my honest confession of articlehere scruples demonpronoun had long prevented my forming indefpronoun serious design\n', 9106.919424913325]
[' demonpronoun bitter accusations might have been suppressed had personpronoun with greater policy concealed my struggles and flattered personpronoun into articlehere belief of my being impelled by unqualified unalloyed inclination by reason by reflection by every thing\n', 8343.119722027655]
[' but disguise of every sort is my abhorrence\n', 2218.7747499441107]
[' nor am personpronoun ashamed of articlehere feelings personpronoun related\n', 1892.7032069277227]
[' could personpronoun expect me to rejoice in articlehere inferiority of your connections\n', 6910.700338206521]
[' to congratulate reflexpronoun on articlehere hope of relations interpronoun condition in life is so decidedly beneath my own\n', 1973.994678172897]
[' elizabeth felt reflexpronoun growing more angry every moment yet personpronoun tried to articlehere utmost to speak with composure when personpronoun said personpronoun are mistaken addressform darcy if personpronoun suppose demonpronoun articlehere mode of your declaration affected me in indefpronoun indefpronoun way than as personpronoun spared me articlehere concern interpronoun personpronoun might have felt in refusing personpronoun had personpronoun behaved in articlehere more gentleman like manner\n', 2925.3251785976095]
[' personpronoun saw thirdpronoun start at demonpronoun but personpronoun said indefpronoun and personpronoun continued personpronoun could not have made me articlehere offer of your hand in indefpronoun possible way demonpronoun would have tempted me to accept it\n', 1886.102730148681]
[' personpronoun went on\n', 44.083011084226754]
[' from articlehere very beginning from articlehere first moment personpronoun may almost say of my acquaintance with personpronoun your manners impressing me with articlehere fullest belief of your arrogance your conceit and your selfish disdain of articlehere feelings of others were such as to form demonpronoun ground work of disapprobation on interpronoun succeeding events have built so immoveable articlehere dislike and personpronoun had not known personpronoun articlehere month before personpronoun felt demonpronoun personpronoun were articlehere last man in articlehere world interpronoun personpronoun could ever be prevailed on to marry\n', inf]
[' personpronoun have said quite enough madam\n', 229.43045955533415]
[' personpronoun perfectly comprehend your feelings and have now only to be ashamed of interpronoun my own have been\n', 794.0674397357809]
[' forgive me for having taken up so much of your time and accept my best wishes for your health and happiness\n', 1855.071741206038]
[' and with demonpronoun words personpronoun hastily left articlehere room and elizabeth heard thirdpronoun articlehere next moment open articlehere front door and quit articlehere house\n', 4208.234003734694]
[' articlehere tumult of thirdpronoun mind was now painfully great\n', 2177.1863101789686]
[' personpronoun knew not how to support reflexpronoun and from actual weakness sat down and cried for half articlehere hour\n', 3423.8421905436285]
[' thirdpronoun astonishment as personpronoun reflected on interpronoun had passed was increased by every review of it\n', 1289.244734078179]
[' demonpronoun personpronoun should receive articlehere offer of marriage from addressform darcy\n', 343.3433987399108]
[' demonpronoun personpronoun should have been in love with thirdpronoun for so indefpronoun months\n', 419.6048519183918]
[' so much in love as to wish to marry thirdpronoun in spite of indefpronoun articlehere objections interpronoun had made thirdpronoun prevent possespronoun friend s marrying thirdpronoun sister and interpronoun must appear at least with equal force in possespronoun own case was almost incredible\n', 4498.010331342491]
[' personpronoun was gratifying to have inspired unconsciously so strong articlehere affection\n', 3313.6087326474994]
[' but possespronoun pride possespronoun abominable pride possespronoun shameless avowal of interpronoun personpronoun had done with respect to jane possespronoun unpardonable assurance in acknowledging though personpronoun could not justify personpronoun and articlehere unfeeling manner in interpronoun personpronoun had mentioned addressform wickham possespronoun cruelty towards interpronoun personpronoun had not attempted to deny soon overcame articlehere pity interpronoun articlehere consideration of possespronoun attachment had for articlehere moment excited\n', 3019.7266004309395]
[' personpronoun continued in very agitating reflections till articlehere sound of lady catherine s carriage made thirdpronoun feel how unequal personpronoun was to encounter charlotte s observation and hurried thirdpronoun away to thirdpronoun room\n', 2310.584156979768]
[' chapter xii\n', 937.7786750732445]
[' personpronoun could not yet recover from articlehere surprise of interpronoun had happened personpronoun was impossible to think of indefpronoun thing else and totally indisposed for employment personpronoun resolved soon after breakfast to indulge reflexpronoun in air and exercise\n', 2869.6694093651226]
[' personpronoun was proceeding directly to thirdpronoun favourite walk when articlehere recollection of addressform darcy s sometimes coming there stopped thirdpronoun and instead of entering articlehere park personpronoun turned up articlehere lane interpronoun led thirdpronoun farther from articlehere turnpike road\n', 3328.0734941003034]
[' articlehere park paling was still articlehere boundary on indefpronoun side and personpronoun soon passed indefpronoun of articlehere gates into articlehere ground\n', 2761.161371825627]
[' after walking two or three times along demonpronoun part of articlehere lane personpronoun was tempted by articlehere pleasantness of articlehere morning to stop at articlehere gates and look into articlehere park\n', 2620.9205050461323]
[' articlehere five weeks interpronoun personpronoun had now passed in kent had made articlehere great difference in articlehere country and every day was adding to articlehere verdure of articlehere early trees\n', 1143.8111201913168]
[' but articlehere person interpronoun advanced was now near enough to see thirdpronoun and stepping forward with eagerness pronounced thirdpronoun name\n', 3103.5915967524456]
[' personpronoun had turned away but on hearing reflexpronoun called though in articlehere voice interpronoun proved personpronoun to be addressform darcy personpronoun moved again towards articlehere gate\n', 1969.1568407580237]
[' personpronoun had by demonpronoun time reached personpronoun also and holding out articlehere letter interpronoun personpronoun instinctively took said with articlehere look of haughty composure personpronoun have been walking in articlehere grove indefpronoun time in articlehere hope of meeting you\n', 2865.9694111689205]
[' with no expectation of pleasure but with articlehere strongest curiosity elizabeth opened articlehere letter and to thirdpronoun still increasing wonder perceived articlehere envelope containing two sheets of letter paper written quite through in articlehere very close hand\n', 3441.2357279414937]
[' articlehere envelope reflexpronoun was likewise full\n', 441.075017344499]
[' pursuing thirdpronoun way along articlehere lane personpronoun then began it\n', 683.8198409693857]
[' personpronoun was dated from rosings at eight o clock in articlehere morning and was as follows be not alarmed madam on receiving demonpronoun letter by articlehere apprehension of possespronoun containing indefpronoun repetition of demonpronoun sentiments or renewal of demonpronoun offers interpronoun were last night so disgusting to you\n', 4130.508815292829]
[' personpronoun write without indefpronoun intention of paining personpronoun or humbling reflexpronoun by dwelling on wishes interpronoun for articlehere happiness of indefpronoun cannot be too soon forgotten and articlehere effort interpronoun articlehere formation and articlehere perusal of demonpronoun letter must occasion should have been spared had not my character required personpronoun to be written and read\n', 1987.6686515618824]
[' two offences of articlehere very different nature and by no means of equal magnitude personpronoun last night laid to my charge\n', 51368.737687757566]
[' articlehere first mentioned was demonpronoun regardless of articlehere sentiments of indefpronoun personpronoun had detached addressform bingley from your sister and articlehere indefpronoun demonpronoun personpronoun had in defiance of various claims in defiance of honour and humanity ruined articlehere immediate prosperity and blasted articlehere prospects of addressform wickham\n', 3254.723440546384]
[' wilfully and wantonly to have thrown off articlehere companion of my youth articlehere acknowledged favourite of my father articlehere young man interpronoun had scarcely indefpronoun indefpronoun dependence than on our patronage and interpronoun had been brought up to expect possespronoun exertion would be articlehere depravity to interpronoun articlehere separation of two young persons interpronoun affection could be articlehere growth of only articlehere indefpronoun weeks could bear no comparison\n', 3475.7218904296133]
[' if in articlehere explanation of thirdpronoun interpronoun is due to reflexpronoun personpronoun am under articlehere necessity of relating feelings interpronoun may be offensive to your s personpronoun can only say demonpronoun personpronoun am sorry\n', 1487.2540343925884]
[' articlehere necessity must be obeyed and farther apology would be absurd\n', 2324.128390950364]
[' personpronoun had not been long in hertfordshire before personpronoun saw in common with others demonpronoun bingley preferred your eldest sister to indefpronoun indefpronoun young woman in articlehere country\n', 1473.1427884510376]
[' but personpronoun was not till articlehere evening of articlehere dance at netherfield demonpronoun personpronoun had indefpronoun apprehension of possespronoun feeling articlehere serious attachment\n', 1481.0340050673726]
[' personpronoun had often seen thirdpronoun in love before\n', 1015.42163165909]
[' personpronoun spoke of personpronoun as articlehere certain event of interpronoun articlehere time alone could be undecided\n', 876.8050288984322]
[' from demonpronoun moment personpronoun observed my friend s behaviour attentively and personpronoun could then perceive demonpronoun possespronoun partiality for miss bennet was beyond interpronoun personpronoun had ever witnessed in him\n', 1883.7465484177762]
[' if personpronoun have not been mistaken here personpronoun must have been in articlehere error\n', 625.3890818338475]
[' your superior knowledge of your sister must make articlehere latter probable\n', 1679.3208061025005]
[' if personpronoun be so if personpronoun have been misled by such error to inflict pain on thirdpronoun your resentment has not been unreasonable\n', 2283.569275125651]
[' but personpronoun shall not scruple to assert demonpronoun articlehere serenity of your sister s countenance and air was such as might have given articlehere most acute observer articlehere conviction demonpronoun however amiable thirdpronoun temper thirdpronoun heart was not likely to be easily touched\n', 5123.318805479194]
[' personpronoun did not believe thirdpronoun to be indifferent because personpronoun wished personpronoun personpronoun believed personpronoun on impartial conviction as truly as personpronoun wished personpronoun in reason\n', 1751.393839547116]
[' articlehere situation of your mother s family though objectionable was indefpronoun in comparison of demonpronoun total want of propriety so frequently so almost uniformly betrayed by reflexpronoun by your three younger sisters and occasionally even by your father\n', 7272.185268976304]
[' pardon me\n', 68.0466836402514]
[' personpronoun pains me to offend you\n', 8832.54894035254]
[' but amidst your concern for articlehere defects of your nearest relations and your displeasure at demonpronoun representation of thirdpronoun let personpronoun give personpronoun consolation to consider demonpronoun to have conducted reflexpronoun so as to avoid indefpronoun share of articlehere like censure is praise no less generally bestowed on personpronoun and your eldest sister than personpronoun is honourable to articlehere sense and disposition of both\n', 2763.5160455657256]
[' personpronoun will only say farther demonpronoun from interpronoun passed demonpronoun evening my opinion of indefpronoun parties was confirmed and every inducement heightened interpronoun could have led me before to preserve my friend from interpronoun personpronoun esteemed articlehere most unhappy connection\n', 5000.299226970496]
[' articlehere part interpronoun personpronoun acted is now to be explained\n', 652.2315915098956]
[' possespronoun sisters uneasiness had been equally excited with my own our coincidence of feeling was soon discovered and alike sensible demonpronoun no time was to be lost in detaching their brother personpronoun shortly resolved on joining thirdpronoun directly in london\n', 8171.10790425663]
[' personpronoun accordingly went and there personpronoun readily engaged in articlehere office of pointing out to my friend articlehere certain evils of such articlehere choice\n', 4355.020949398647]
[' personpronoun described and enforced thirdpronoun earnestly\n', 11349.020352064796]
[' but however demonpronoun remonstrance might have staggered or delayed possespronoun determination personpronoun do not suppose demonpronoun personpronoun would ultimately have prevented articlehere marriage had personpronoun not been seconded by articlehere assurance interpronoun personpronoun hesitated not in giving of your sister s indifference\n', 3818.4992320499696]
[' personpronoun had before believed thirdpronoun to return possespronoun affection with sincere if not with equal regard\n', 1941.8650039536708]
[' but bingley has great natural modesty with articlehere stronger dependence on my judgment than on possespronoun own\n', 4715.596352188185]
[' to convince thirdpronoun therefore demonpronoun personpronoun had deceived reflexpronoun was no very difficult point\n', 1484.2387649806092]
[' to persuade thirdpronoun against returning into hertfordshire when demonpronoun conviction had been given was scarcely articlehere work of articlehere moment\n', 1289.9102919717513]
[' there is but indefpronoun part of my conduct in articlehere whole affair on interpronoun personpronoun do not reflect with satisfaction personpronoun is demonpronoun personpronoun condescended to adopt articlehere measures of art so far as to conceal from thirdpronoun your sister s being in town\n', 2471.1808689002496]
[' perhaps demonpronoun concealment demonpronoun disguise was beneath me\n', 9684.196229600928]
[' personpronoun is done however and personpronoun was done for articlehere best\n', 582.9230265918205]
[' on demonpronoun subject personpronoun have indefpronoun more to say no indefpronoun apology to offer\n', 424.7993513395452]
[' if personpronoun have wounded your sister s feelings personpronoun was unknowingly done and though articlehere motives interpronoun governed me may to personpronoun very naturally appear insufficient personpronoun have not yet learnt to condemn them\n', 2407.257985286073]
[' with respect to demonpronoun indefpronoun more weighty accusation of having injured addressform wickham personpronoun can only refute personpronoun by laying before personpronoun articlehere whole of possespronoun connection with my family\n', 4849.623522319872]
[' addressform wickham is articlehere son of articlehere very respectable man interpronoun had for indefpronoun years articlehere management of indefpronoun articlehere pemberley estates and interpronoun good conduct in articlehere discharge of possespronoun trust naturally inclined my father to be of service to thirdpronoun and on george wickham interpronoun was possespronoun god son possespronoun kindness was therefore liberally bestowed\n', 5531.707654372873]
[' my father supported thirdpronoun at school and afterwards at cambridge most important assistance as possespronoun own father always poor from articlehere extravagance of possespronoun wife would have been unable to give thirdpronoun articlehere gentleman s education\n', 9403.97539048515]
[' my father was not only fond of demonpronoun young man s society interpronoun manners were always engaging personpronoun had also articlehere highest opinion of thirdpronoun and hoping articlehere church would be possespronoun profession intended to provide for thirdpronoun in it\n', 6326.569545525323]
[' as for reflexpronoun personpronoun is indefpronoun many years since personpronoun first began to think of thirdpronoun in articlehere very different manner\n', 690.7831904450339]
[' articlehere vicious propensities articlehere want of principle interpronoun personpronoun was careful to guard from articlehere knowledge of possespronoun best friend could not escape articlehere observation of articlehere young man of nearly articlehere same age with reflexpronoun and interpronoun had opportunities of seeing thirdpronoun in unguarded moments interpronoun addressform darcy could not have\n', 2626.8103791994226]
[' here again personpronoun shall give personpronoun pain to interpronoun degree personpronoun only can tell\n', 795.2678874768557]
[' but whatever may be articlehere sentiments interpronoun addressform wickham has created articlehere suspicion of their nature shall not prevent me from unfolding possespronoun real character\n', 1868.208016971255]
[' personpronoun adds even indefpronoun motive\n', 1822.64018170506]
[' my excellent father died about five years ago and possespronoun attachment to addressform wickham was to articlehere last so steady demonpronoun in possespronoun will personpronoun particularly recommended personpronoun to me to promote possespronoun advancement in articlehere best manner demonpronoun possespronoun profession might allow and if personpronoun took orders desired demonpronoun articlehere valuable family living might be possespronoun as soon as soon as personpronoun became vacant\n', 5859.781376462743]
[' possespronoun own father did not long survive possespronoun and within half articlehere year from demonpronoun events addressform wickham wrote to inform me demonpronoun having finally resolved against taking orders personpronoun hoped personpronoun should not think personpronoun unreasonable for thirdpronoun to expect indefpronoun more immediate pecuniary advantage in lieu of articlehere preferment by interpronoun personpronoun could not be benefited\n', 4223.555312085874]
[' personpronoun had indefpronoun intention personpronoun added of studying articlehere law and personpronoun must be aware demonpronoun articlehere interest of indefpronoun thousand pounds would be articlehere very insufficient support therein\n', 1018.0076592860657]
[' personpronoun rather wished than believed thirdpronoun to be sincere but at indefpronoun rate was perfectly ready to accede to possespronoun proposal\n', 2830.0617920848645]
[' personpronoun knew demonpronoun addressform wickham ought not to be articlehere clergyman\n', 528.2008584810244]
[' articlehere business was therefore soon settled\n', 438.53160782408077]
[' personpronoun resigned indefpronoun claim to assistance in articlehere church were personpronoun possible demonpronoun personpronoun could ever be in articlehere situation to receive personpronoun and accepted in return three thousand pounds\n', 2101.083178022872]
[' indefpronoun connection between us seemed now dissolved\n', 2853.152328011637]
[' personpronoun thought too ill of thirdpronoun to invite thirdpronoun to pemberley or admit possespronoun society in town\n', 2967.285581018928]
[' in town personpronoun believe personpronoun chiefly lived but possespronoun studying articlehere law was articlehere mere pretence and being now free from indefpronoun restraint possespronoun life was articlehere life of idleness and dissipation\n', 3955.452480684104]
[' for about three years personpronoun heard little of thirdpronoun but on articlehere decease of articlehere incumbent of articlehere living interpronoun had been designed for thirdpronoun personpronoun applied to me again by letter for articlehere presentation\n', 1612.5798931621016]
[' possespronoun circumstances personpronoun assured me and personpronoun had no difficulty in believing personpronoun were exceedingly bad\n', 1474.7194349268027]
